               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10455,            0.034834,                   0,             0.11243,             0.12371,            0.043287,             0.01366,            0.071437,             0.02113,                   0,              0.0721,              0.0031,              0.0031
                   1,            0.079773,            0.042857,                   0,             0.35884,             0.57732,              0.3182,             0.10085,            0.061435,            0.017629,                   0,            0.043175,           0.0061753,           0.0061753
                   2,            0.067114,            0.028799,                   0,             0.48753,             0.58846,             0.54187,             0.23295,            0.052266,            0.011723,                   0,            0.014124,           0.0091238,           0.0091238
                   3,            0.064079,            0.025056,                   0,             0.32086,             0.85723,             0.44274,             0.24614,            0.050429,            0.013839,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.055174,            0.020266,                   0,             0.59684,             0.61856,             0.73822,             0.31636,            0.047093,             0.01101,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.052538,            0.021182,                   0,              0.7643,             0.71134,             0.84953,             0.39927,            0.038064,           0.0080043,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.049069,            0.019621,                   0,             0.92772,             0.92632,             0.95049,             0.64135,            0.027085,           0.0071463,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.041262,             0.01711,                   0,             0.92111,             0.96304,             0.98203,             0.53021,            0.028182,           0.0062769,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.039145,            0.017871,                   0,             0.96849,             0.95076,             0.98808,              0.7291,            0.020759,           0.0059202,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.037061,            0.014245,                   0,             0.95303,             0.93814,             0.98667,             0.67202,            0.025583,           0.0059258,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.039063,             0.02022,                   0,             0.91812,             0.92784,             0.96381,             0.67932,            0.021054,           0.0064197,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.032398,            0.014831,                   0,             0.96593,             0.95876,             0.99058,             0.73705,              0.0194,           0.0057559,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.032067,            0.014475,                   0,             0.95157,             0.95876,             0.96948,             0.68893,            0.021968,           0.0058758,                   0,            0.007822,            0.007822,            0.007822
